title,f_name,url
King of the Screwups,king-of-the-screwups,https://www.commonsensemedia.org/book-reviews/king-of-the-screwups
What Lincoln Said,what-lincoln-said,https://www.commonsensemedia.org/book-reviews/what-lincoln-said
"Love, Splat",love-splat,https://www.commonsensemedia.org/book-reviews/love-splat
Presidents' Day,presidents-day,https://www.commonsensemedia.org/book-reviews/presidents-day
Punkzilla,punkzilla,https://www.commonsensemedia.org/book-reviews/punkzilla
Mare's War,mares-war,https://www.commonsensemedia.org/book-reviews/mares-war
"The Sorceress: The Secrets of the Immortal Nicholas Flamel, Book 3",the-sorceress-the-secrets-of-the-immortal-nicholas-flamel-book-3,https://www.commonsensemedia.org/book-reviews/the-sorceress-the-secrets-of-the-immortal-nicholas-flamel-book-3
Soul Enchilada,soul-enchilada,https://www.commonsensemedia.org/book-reviews/soul-enchilada
The Secret Life of Prince Charming,the-secret-life-of-prince-charming,https://www.commonsensemedia.org/book-reviews/the-secret-life-of-prince-charming
Anything But Typical,anything-but-typical,https://www.commonsensemedia.org/book-reviews/anything-but-typical
Purge,purge,https://www.commonsensemedia.org/book-reviews/purge
Wings,wings,https://www.commonsensemedia.org/book-reviews/wings
Grizzly Dad,grizzly-dad,https://www.commonsensemedia.org/book-reviews/grizzly-dad
"The Ring of Rocamadour: The Red Blazer Girls, Bk. 1",the-ring-of-rocamadour-the-red-blazer-girls-bk-1,https://www.commonsensemedia.org/book-reviews/the-ring-of-rocamadour-the-red-blazer-girls-bk-1
The Composer Is Dead,the-composer-is-dead,https://www.commonsensemedia.org/book-reviews/the-composer-is-dead
"How to Train Your Dragon: The Heroic Misadventures of Hiccup Horrendous Haddock III, Book 1",how-to-train-your-dragon-the-heroic-misadventures-of-hiccup-horrendous-haddock-iii-book,https://www.commonsensemedia.org/book-reviews/how-to-train-your-dragon-the-heroic-misadventures-of-hiccup-horrendous-haddock-iii-book
The Enemy: A Book About Peace,the-enemy-a-book-about-peace,https://www.commonsensemedia.org/book-reviews/the-enemy-a-book-about-peace
The Swamps of Sleethe,the-swamps-of-sleethe,https://www.commonsensemedia.org/book-reviews/the-swamps-of-sleethe
Girl Power: Young Women Speak Out,girl-power-young-women-speak-out,https://www.commonsensemedia.org/book-reviews/girl-power-young-women-speak-out
Anno's Counting Book,annos-counting-book,https://www.commonsensemedia.org/book-reviews/annos-counting-book
Ashanti to Zulu: African Traditions,ashanti-to-zulu-african-traditions,https://www.commonsensemedia.org/book-reviews/ashanti-to-zulu-african-traditions
Boy: Tales of Childhood,boy-tales-of-childhood,https://www.commonsensemedia.org/book-reviews/boy-tales-of-childhood
Children Just Like Me,children-just-like-me,https://www.commonsensemedia.org/book-reviews/children-just-like-me
Cloudy with a Chance of Meatballs,cloudy-with-a-chance-of-meatballs,https://www.commonsensemedia.org/book-reviews/cloudy-with-a-chance-of-meatballs
Harry the Dirty Dog,harry-the-dirty-dog,https://www.commonsensemedia.org/book-reviews/harry-the-dirty-dog
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",alexander-and-the-terrible-horrible-no-good-very-bad-day,https://www.commonsensemedia.org/book-reviews/alexander-and-the-terrible-horrible-no-good-very-bad-day
33 Things Every Girl Should Know,33-things-every-girl-should-know,https://www.commonsensemedia.org/book-reviews/33-things-every-girl-should-know
Blueberries for Sal,blueberries-for-sal,https://www.commonsensemedia.org/book-reviews/blueberries-for-sal
Bedtime for Frances,bedtime-for-frances,https://www.commonsensemedia.org/book-reviews/bedtime-for-frances
Clifford the Big Red Dog,clifford-the-big-red-dog,https://www.commonsensemedia.org/book-reviews/clifford-the-big-red-dog
George and Martha,george-and-martha,https://www.commonsensemedia.org/book-reviews/george-and-martha
Eloise,eloise,https://www.commonsensemedia.org/book-reviews/eloise
Everyone Poops,everyone-poops,https://www.commonsensemedia.org/book-reviews/everyone-poops
